irr_efficiency,mae
0.0,31.471825234116405
0.01,378.47510824725
0.02,185.9926519355107
0.03,122.21716146892658
0.04,90.8008871371122
0.05,72.5936857860719
0.06,60.73616171368935
0.07,52.51015741803766
0.08,46.582487728665356
0.09,42.15291052912243
0.1,38.768089349229115
0.11,36.067298199514646
0.12,33.866264746227934
0.13,32.06137377467602
0.14,30.607296474290003
0.15,29.50369860857901
0.16,28.641087536347662
0.17,27.973096035261484
0.18,27.46425409980473
0.19,27.07592703894951
0.2,26.77029070091613
0.21,26.53292927358544
0.22,26.354093594315806
0.23,26.203917870181176
0.24,26.095508413801497
0.25,26.01165602163806
0.26,25.944572884906787
0.27,25.891800219054506
0.28,25.85981737662852
0.29,25.85677073358431
0.3,25.866700367820822
0.31,25.886814380183225
0.32,25.912490536936332
0.33,25.947826332582796
0.34,25.98447105289412
0.35,26.021208107308965
0.36,26.060210416576364
0.37,26.1009241788556
0.38,26.145703821072246
0.39,26.189963146941185
0.4,26.23624894409934
0.41,26.281272921982374
0.42,26.32751052363994
0.43,26.373142215071304
0.44,26.41836536897638
0.45,26.464831017937346
0.46,26.51700674062147
0.47,26.5707574195535
0.48,26.62342602518605
0.49,26.68016772771232
0.5,26.737145494664514
0.51,26.792363891093597
0.52,26.84613168319167
0.53,26.898462817852835
0.54,26.948855762341395
0.55,26.997489644282563
0.56,27.047128066700562
0.57,27.09669154094995
0.58,27.1445684728695
0.59,27.19344591562285
0.6,27.24086567871754
0.61,27.286730695481214
0.62,27.331116195575134
0.63,27.374257948536247
0.64,27.418486965989466
0.65,27.46396955677905
0.66,27.509032978575007
0.67,27.554042287656472
0.68,27.597957876670606
0.69,27.641811066610597
0.7,27.68441130826658
0.71,27.725811543115356
0.72,27.76606177144055
0.73,27.805209253784238
0.74,27.843315063782505
0.75,27.88056690480019
0.76,27.916838434212178
0.77,27.952167845977122
0.78,27.986591375389068
0.79,28.02014342304379
0.8,28.052856669507126
0.81,28.085064322414784
0.82,28.11654707519005
0.83,28.147271207416537
0.84,28.1772638126852
0.85,28.206550709594655
0.86,28.235156515878298
0.87,28.26310471741976
0.88,28.290417732562595
0.89,28.317116972084218
0.9,28.343332442876978
0.91,28.369382099094597
0.92,28.39486545843794
0.93,28.419800788548073
0.94,28.444205579719753
0.95,28.468125649927575
0.96,28.492068313481216
0.97,28.516217782836268
0.98,28.54001644406656
0.99,28.563334324261938
1.0,28.58657416080388
