,number,value,params_precip_const_1,params_precip_const_2,params_precip_const_3,params_precip_const_4,params_precip_const_5,params_precip_const_6,params_precip_const_7,params_precip_const_8,params_precip_const_9,params_precip_const_10,params_precip_const_11,params_precip_const_12,params_residual_const_1,params_residual_const_2,params_residual_const_3,params_residual_const_4,params_residual_const_5,params_residual_const_6,params_residual_const_7,params_residual_const_8,params_residual_const_9,params_residual_const_10,params_residual_const_11,params_residual_const_12,datetime_start,datetime_complete,duration,state,,
874,874,19.3433636,0.09,0.49,0.67,0.72,0.44,0.48,0.67,0.22,0.14,0.5,0.39,0.91,0.99,0.04,0.09,0.04,0.45,0.18,0.84,0.29,0.21,0.04,0.13,0.56,35:08.8,35:49.6,0 days 00:00:40.866116,COMPLETE,,
804,804,19.34369905,0.14,0.58,0.57,0.79,0.4,0.51,0.61,0.27,0.15,0.46,0.31,1,0.92,0.08,0.13,0.02,0.45,0.15,0.88,0.29,0.16,0.05,0.12,0.55,39:37.7,40:07.6,0 days 00:00:29.915181,COMPLETE,,
823,823,19.34507862,0.11,0.56,0.65,0.74,0.42,0.48,0.64,0.26,0.15,0.48,0.32,0.94,0.94,0.1,0.15,0.01,0.47,0.13,0.85,0.31,0.19,0.03,0.13,0.59,56:04.6,56:51.0,0 days 00:00:46.375784,COMPLETE,,
943,943,19.34515492,0.06,0.35,0.74,0.71,0.47,0.49,0.61,0.23,0.13,0.42,0.4,0.71,0.93,0.02,0.02,0.03,0.47,0.25,0.91,0.17,0.34,0.04,0.12,0.52,25:19.1,25:54.9,0 days 00:00:35.782625,COMPLETE,,
953,953,19.34544597,0.17,0.3,0.54,0.69,0.48,0.49,0.59,0.23,0.13,0.41,0.42,0.72,0.93,0.03,0.04,0.02,0.5,0.29,0.9,0.15,0.35,0.06,0.12,0.54,32:22.5,32:53.2,0 days 00:00:30.629227,COMPLETE,,
681,681,19.34586854,0.21,0.68,0.48,0.84,0.36,0.52,0.57,0.31,0.13,0.53,0.43,0.06,0.82,0.02,0.19,0.06,0.42,0.13,0.93,0.24,0.07,0,0.21,0.57,04:56.2,06:19.8,0 days 00:01:23.632762,COMPLETE,,
906,906,19.34644203,0.06,0.4,0.63,0.69,0.45,0.47,0.62,0.23,0.13,0.46,0.35,1,1,0.04,0.02,0,0.49,0.24,0.85,0.25,0.32,0.04,0.03,0.47,59:45.5,00:13.0,0 days 00:00:27.464474,COMPLETE,,
680,680,19.34647701,0.16,0.67,0.46,0.83,0.39,0.51,0.52,0.32,0.12,0.53,0.34,0.06,0.83,0.15,0.19,0.06,0.41,0.13,0.91,0.25,0.04,0,0.2,0.64,03:49.7,04:56.2,0 days 00:01:06.496863,COMPLETE,,
795,795,19.34647749,0.12,0.6,0.59,0.78,0.39,0.51,0.65,0.27,0.11,0.48,0.29,0.8,0.91,0.03,0.17,0.04,0.44,0.13,0.83,0.32,0.18,0.05,0.09,0.55,28:31.7,29:06.8,0 days 00:00:35.040596,COMPLETE,,
939,939,19.34871708,0.05,0.29,0.71,0.71,0.46,0.5,0.6,0.23,0.13,0.41,0.4,0.67,0.96,0,0.02,0.03,0.49,0.24,0.87,0.18,0.3,0.03,0.09,0.5,22:36.9,23:11.2,0 days 00:00:34.268033,COMPLETE,,
894,894,19.34999439,0.07,0.42,0.65,0.73,0.42,0.49,0.65,0.2,0.14,0.51,0.37,0.96,0.98,0.06,0.03,0,0.46,0.25,0.89,0.27,0.2,0.02,0.04,0.49,49:50.9,50:17.9,0 days 00:00:26.968105,COMPLETE,,
957,957,19.35004813,0.19,0.28,0.54,0.66,0.47,0.49,0.58,0.21,0.13,0.35,0.4,0.76,0.9,0.03,0.03,0.05,0.5,0.28,0.92,0.13,0.34,0.06,0.14,0.55,35:35.2,36:18.5,0 days 00:00:43.246922,COMPLETE,,
601,601,19.35015882,0.41,0.63,0.4,0.74,0.4,0.52,0.51,0.29,0.12,0.58,0.18,0.04,0.79,0.12,0.18,0.06,0.51,0.15,0.89,0.29,0.13,0.07,0.18,0.13,53:15.8,53:44.5,0 days 00:00:28.621029,COMPLETE,,
902,902,19.35059058,0.11,0.38,0.63,0.7,0.43,0.48,0.63,0.24,0.14,0.47,0.36,0.97,0.96,0.05,0.03,0,0.44,0.24,0.85,0.24,0.27,0.04,0.09,0.47,56:44.1,57:34.6,0 days 00:00:50.518506,COMPLETE,,
868,868,19.35090474,0.95,0.48,0.63,0.72,0.41,0.48,0.67,0.24,0.15,0.45,0.38,0.98,0.95,0.04,0.15,0.02,0.45,0.16,0.82,0.3,0.19,0.04,0.1,0.54,30:30.2,31:08.5,0 days 00:00:38.258233,COMPLETE,,
898,898,19.35341602,0.1,0.46,0.63,0.71,0.44,0.49,0.65,0.22,0.14,0.48,0.36,1,1,0.05,0.03,0,0.51,0.24,0.86,0.26,0.24,0.02,0.05,0.51,51:53.2,52:40.6,0 days 00:00:47.443097,COMPLETE,,
856,856,19.35375643,0.11,0.55,0.55,0.74,0.38,0.5,0.65,0.27,0.15,0.5,0.33,1,0.96,0.09,0.12,0.04,0.45,0.17,0.78,0.29,0.21,0.02,0.08,0.52,23:56.1,24:38.2,0 days 00:00:42.069118,COMPLETE,,
847,847,19.35381481,0.09,0.53,0.59,0.77,0.41,0.48,0.66,0.25,0.15,0.42,0.29,0.75,0.94,0.09,0.14,0.03,0.45,0.14,0.83,0.31,0.21,0,0.06,0.64,18:33.6,19:10.3,0 days 00:00:36.728707,COMPLETE,,
884,884,19.35385306,0.1,0.45,0.66,0.74,0.42,0.5,0.68,0.22,0.14,0.51,0.38,0.93,0.98,0.06,0.09,0.02,0.47,0.22,0.88,0.26,0.24,0.02,0.08,0.51,42:57.2,43:37.0,0 days 00:00:39.843887,COMPLETE,,
841,841,19.35479042,0.13,0.57,0.62,0.79,0.43,0.48,0.66,0.29,0.15,0.49,0.31,0.93,0.97,0.09,0.14,0,0.45,0.09,0.83,0.35,0.24,0.02,0.08,0.64,13:26.5,14:29.4,0 days 00:01:02.896816,COMPLETE,,
879,879,19.35484514,0.1,0.44,0.67,0.72,0.44,0.5,0.66,0.22,0.14,0.5,0.39,0.9,1,0.03,0.09,0.04,0.48,0.2,0.86,0.29,0.18,0,0.06,0.5,39:19.8,40:16.0,0 days 00:00:56.201649,COMPLETE,,
682,682,19.3595532,0.18,0.67,0.51,0.83,0.33,0.51,0.57,0.32,0.13,0.53,0.44,0.07,0.82,0.02,0.17,0.09,0.44,0.12,0.94,0.21,0.1,0,0.2,0.57,06:19.8,07:50.5,0 days 00:01:30.687132,COMPLETE,,
924,924,19.360075,0.15,0.37,0.66,0.73,0.42,0.51,0.6,0.24,0.11,0.43,0.39,0.95,0.95,0.02,0.01,0.03,0.46,0.22,0.89,0.2,0.31,0.05,0,0.54,13:18.7,13:48.2,0 days 00:00:29.446230,COMPLETE,,
944,944,19.36011605,0.07,0.34,0.75,0.68,0.47,0.47,0.63,0.26,0.11,0.43,0.4,0.72,0.9,0.02,0.06,0.03,0.46,0.29,0.91,0.16,0.37,0.5,0.14,0.52,25:54.9,26:33.6,0 days 00:00:38.772778,COMPLETE,,
809,809,19.36123663,0.13,0.57,0.6,0.75,0.4,0.48,0.6,0.27,0.15,0.44,0.32,0.94,0.96,0.1,0.13,0.02,0.45,0.14,0.84,0.31,0.22,0.04,0.12,0.58,43:47.8,44:51.5,0 days 00:01:03.699612,COMPLETE,,
562,562,19.36148695,0.47,0.67,0.36,0.65,0.5,0.47,0.68,0.27,0.14,0.92,0.98,0.12,0.05,0.23,0.15,0.05,0.59,0.19,0.63,0.71,0.13,0.13,0.3,0.12,24:57.9,25:37.7,0 days 00:00:39.870395,COMPLETE,,
988,988,19.36150781,0.16,0.33,0.64,0.75,0.47,0.48,0.62,0.26,0.15,0.35,0.45,0.76,0.98,0,0.02,0.02,0.43,0.23,0.91,0.17,0.33,0.03,0.12,0.58,03:55.9,05:03.2,0 days 00:01:07.273752,COMPLETE,,
979,979,19.36169682,0.11,0.16,0.59,0.65,0.44,0.47,0.64,0.25,0.14,0.38,0.42,0.74,0.91,0.06,0.04,0.05,0.47,0.23,0.93,0.16,0.39,0.09,0.15,0.57,55:19.1,56:20.0,0 days 00:01:00.872306,COMPLETE,,
981,981,19.36202113,0.14,0.18,0.67,0.71,0.44,0.5,0.58,0.21,0.12,0.45,0.35,0.69,0.94,0,0.05,0.04,0.49,0.23,0.88,0.04,0.31,0.04,0.11,0.49,57:19.1,58:20.5,0 days 00:01:01.384439,COMPLETE,,
798,798,19.3622043,0.13,0.59,0.6,0.79,0.4,0.49,0.63,0.27,0.11,0.46,0.28,0.9,0.91,0.02,0.16,0.04,0.46,0.13,0.83,0.31,0.19,0.02,0.1,0.54,30:46.0,31:55.3,0 days 00:01:09.310999,COMPLETE,,
891,891,19.36239069,0.11,0.39,0.68,0.71,0.45,0.51,0.68,0.21,0.14,0.49,0.38,0.69,1,0.02,0.06,0,0.48,0.2,0.86,0.23,0.2,0,0.08,0.51,47:52.2,48:45.5,0 days 00:00:53.333731,COMPLETE,,
927,927,19.36259833,0.12,0.4,0.62,0.7,0.47,0.51,0.61,0.24,0.12,0.47,0.41,0.94,0.92,0.02,0,0.04,0.48,0.31,0.9,0.23,0.36,0.08,0.03,0.52,15:24.5,16:06.6,0 days 00:00:42.120691,COMPLETE,,
626,626,19.36414691,0.06,0.64,0.4,0.88,0.36,0.52,0.5,0.34,0.12,0.6,0.27,0.02,0.81,0.13,0.18,0.1,0.39,0.17,0.91,0.25,0.07,0.08,0.2,0.7,06:47.9,07:25.8,0 days 00:00:37.830699,COMPLETE,,
813,813,19.3647807,0.13,0.57,0.61,0.78,0.4,0.48,0.63,0.29,0.15,0.46,0.29,0.93,0.96,0.07,0.13,0.02,0.47,0.15,0.81,0.32,0.2,0.04,0.12,0.57,46:23.2,46:53.2,0 days 00:00:29.978647,COMPLETE,,
805,805,19.36523028,0.11,0.56,0.61,0.78,0.42,0.48,0.61,0.27,0.15,0.46,0.31,1,0.94,0.09,0.14,0.02,0.46,0.15,0.83,0.3,0.2,0.05,0.12,0.6,40:07.6,41:03.3,0 days 00:00:55.728161,COMPLETE,,
619,619,19.36607167,0.18,0.66,0.38,0.86,0.35,0.52,0.55,0.36,0.12,0.61,0.3,0.04,0.87,0.05,0.22,0.08,0.41,0.15,0.94,0.32,0.06,0,0.19,0.69,02:13.4,02:58.8,0 days 00:00:45.369343,COMPLETE,,
613,613,19.36695325,0.03,0.67,0.4,0.86,0.36,0.52,0.5,0.34,0.12,0.63,0.3,0.03,0.86,0.09,0.19,0.08,0.37,0.18,0.92,0.29,0.05,0.06,0.15,0.61,59:10.1,59:39.0,0 days 00:00:28.887359,COMPLETE,,
603,603,19.36796723,0.09,0.63,0.39,0.78,0.36,0.53,0.55,0.34,0.12,0.6,0.23,0,0.84,0.1,0.2,0.06,0.45,0.16,0.93,0.3,0.01,0.06,0.17,0.61,54:16.5,54:44.7,0 days 00:00:28.164797,COMPLETE,,
565,565,19.36808382,0.44,0.66,0.38,0.66,0.41,0.53,0.64,0.29,0.12,0.55,1,0.08,0.11,0.23,0.15,0.02,0.54,0.62,0.63,0.72,0.08,0.13,0.27,0.11,26:55.1,27:23.3,0 days 00:00:28.195835,COMPLETE,,
892,892,19.36814241,0.08,0.45,0.64,0.71,0.42,0.51,0.68,0.23,0.14,0.52,0.39,0.98,1,0.05,0.07,0,0.51,0.26,0.88,0.25,0.18,0.02,0.09,0.47,48:45.6,49:20.6,0 days 00:00:35.073414,COMPLETE,,
667,667,19.36826814,0.01,0.62,0.43,0.89,0.39,0.53,0.5,0.34,0.12,0.58,0.26,0.03,0.8,0.05,0.22,0.07,0.37,0.15,0.85,0.28,0.03,0.1,0.23,0.56,50:03.2,51:06.8,0 days 00:01:03.643894,COMPLETE,,
606,606,19.36863973,0.04,0.63,0.4,0.81,0.36,0.52,0.49,0.34,0.12,0.59,0.27,0,0.83,0.08,0.21,0.07,0.43,0.16,0.92,0.29,0.02,0.06,0.18,0.59,55:48.6,56:13.8,0 days 00:00:25.249334,COMPLETE,,
818,818,19.37095255,0.11,0.56,0.66,0.8,0.4,0.47,0.66,0.27,0.14,0.47,0.31,0.84,0.96,0.05,0.15,0.04,0.43,0.1,0.8,0.31,0.19,0.01,0.07,0.6,50:09.1,50:45.9,0 days 00:00:36.819644,COMPLETE,,
649,649,19.37131712,0.02,0.67,0.42,0.87,0.35,0.53,0.5,0.32,0.12,0.59,0.29,0,0.81,0.08,0.2,0.09,0.38,0.14,0.91,0.28,0.13,0.06,0.12,0.57,22:56.8,23:26.8,0 days 00:00:30.058025,COMPLETE,,
608,608,19.37138832,0.07,0.63,0.39,0.83,0.35,0.53,0.5,0.34,0.12,0.59,0.27,0.02,0.88,0.08,0.2,0.07,0.44,0.16,0.91,0.3,0.03,0.06,0.16,0.61,56:38.7,57:07.6,0 days 00:00:28.898192,COMPLETE,,
915,915,19.3714461,0.08,0.38,0.67,0.7,0.43,0.49,0.64,0.18,0.12,0.45,0.41,0.98,0.99,0.04,0,0,0.49,0.3,0.86,0.24,0.34,0.07,0.11,0.48,06:09.2,06:55.3,0 days 00:00:46.117614,COMPLETE,,
