,number,value,params_precip_const_1,params_precip_const_2,params_precip_const_3,params_precip_const_4,params_precip_const_5,params_precip_const_6,params_precip_const_7,params_precip_const_8,params_precip_const_9,params_precip_const_10,params_precip_const_11,params_precip_const_12,params_residual_const_1,params_residual_const_2,params_residual_const_3,params_residual_const_4,params_residual_const_5,params_residual_const_6,params_residual_const_7,params_residual_const_8,params_residual_const_9,params_residual_const_10,params_residual_const_11,params_residual_const_12,datetime_start,datetime_complete,duration,state,,
803,803,19.47021788,0.09,0.61,0.59,0.77,0.38,0.49,0.66,0.3,0.09,0.41,0.34,0.74,0.96,0.07,0.16,0.05,0.43,0.12,0.82,0.22,0.19,0.02,0.11,0.58,38:43.3,39:37.7,0 days 00:00:54.328389,COMPLETE,,
523,523,19.47050593,0.41,0.61,0.36,0.65,0.46,0.5,0.72,0.26,0.15,0.97,1,0.15,0.09,0.27,0.06,0.04,0.54,0.68,0.63,0.64,0.94,0.06,0.37,0.14,51:47.1,52:17.2,0 days 00:00:30.077131,COMPLETE,,
866,866,19.47206128,0.08,0.54,0.6,0.77,0.39,0.45,0.63,0.27,0.15,0.39,0.31,0.93,0.98,0.13,0.13,0.02,0.5,0.11,0.8,0.31,0.16,0.02,0.12,0.47,29:35.4,30:03.3,0 days 00:00:27.880186,COMPLETE,,
790,790,19.47260183,0.1,0.62,0.55,0.76,0.42,0.51,0.62,0.28,0.09,0.52,0.25,0.96,0.85,0.06,0.16,0.04,0.48,0.17,0.87,0.27,0.16,0.04,0.14,0.57,25:30.0,26:10.4,0 days 00:00:40.417404,COMPLETE,,
950,950,19.47306071,0.06,0.25,0.56,0.67,0.47,0.48,0.62,0.25,0.17,0.4,0.38,0.72,0.93,0.02,0.04,0.02,0.52,0.31,0.9,0.09,0.38,0.09,0.14,0.51,30:39.8,31:15.3,0 days 00:00:35.490750,COMPLETE,,
991,991,19.47308035,0.07,0.31,0.59,0.68,0.44,0.53,0.66,0.21,0.1,0.43,0.36,0.65,0.93,0.94,0.02,0.04,0.53,0.3,0.89,0.2,0.36,0.05,0.11,0.55,06:41.3,07:26.4,0 days 00:00:45.040788,COMPLETE,,
490,490,19.47344462,0.44,0.66,0.34,0.59,0.51,0.44,0.69,0.26,0.15,0.91,0.98,0.12,0.08,0.24,0.13,0.02,0.54,0.68,0.63,0.68,1,0.21,0.38,0.08,45:20.5,45:47.4,0 days 00:00:26.827603,COMPLETE,,
470,470,19.47376769,0.4,0.51,0.39,0.62,0.45,0.47,0.7,0.26,0.16,0.96,1,0.16,0.08,0.29,0.14,0.03,0.59,0.67,0.73,0.67,0.84,0.16,0.38,0.1,36:50.3,37:15.3,0 days 00:00:24.946948,COMPLETE,,
922,922,19.47556243,0.14,0.38,0.65,0.73,0.41,0.44,0.64,0.25,0.1,0.52,0.34,0.95,0.97,0.06,0.04,0.02,0.43,0.29,0.86,0.19,0.38,0.07,0.14,0.46,12:17.2,12:44.1,0 days 00:00:26.951678,COMPLETE,,
440,440,19.47660493,0.5,0.62,0.28,0.61,0.51,0.47,0.73,0.25,0.16,0.96,0.94,0.21,0.01,0.28,0.17,0.08,0.62,0.12,0.75,0.34,0.83,0.42,0.41,0.04,22:53.3,23:29.6,0 days 00:00:36.296491,COMPLETE,,
855,855,19.47721036,0.14,0.48,0.64,0.78,0.44,0.44,0.61,0.29,0.16,0.47,0.26,0.79,0.89,0.03,0.14,0.02,0.42,0.15,0.85,0.28,0.17,0.04,0.12,0.6,23:25.7,23:56.1,0 days 00:00:30.442161,COMPLETE,,
673,673,19.4776635,0.04,0.65,0.43,0.82,0.39,0.51,0.59,0.32,0.1,0.59,0.25,0.02,0.83,0.09,0.24,0.09,0.47,0.13,0.87,0.26,0,0.05,0.11,0.53,55:43.8,57:30.1,0 days 00:01:46.211997,COMPLETE,,
517,517,19.48009443,0.41,0.59,0.32,0.62,0.43,0.48,0.7,0.26,0.14,0.94,0.98,0.18,0.03,0.23,0.06,0.07,0.59,0.72,0.7,0.64,1,0.27,0.43,0.14,48:51.7,49:20.5,0 days 00:00:28.730566,COMPLETE,,
650,650,19.48507704,0.02,0.69,0.43,0.87,0.33,0.55,0.47,0.36,0.1,0.54,0.29,0,0.82,0.08,0.23,0.11,0.38,0.14,0.94,0.25,0.08,0.04,0.13,0.58,34:17.3,35:04.6,0 days 00:00:47.369646,COMPLETE,,
982,982,19.48556265,0.19,0.37,0.64,0.73,0.46,0.53,0.65,0.24,0.17,0.42,0.38,0.71,0.96,0.07,0,0.02,0.46,0.27,0.9,0.19,0.35,0.1,0.16,0.54,58:20.5,59:03.4,0 days 00:00:42.881884,COMPLETE,,
751,751,19.48587346,0.17,0.67,0.53,0.97,0.37,0.61,0.63,0.32,0.1,0.51,0.58,0.07,0.6,0.17,0.17,0.04,0.34,0.17,0.87,0.15,0.09,0.12,0.18,0.59,59:46.5,00:40.9,0 days 00:00:54.444553,COMPLETE,,
867,867,19.48618367,0.14,0.52,0.58,0.74,0.43,0.5,0.65,0.29,0.18,0.47,0.34,0.97,0.98,0.07,0.12,0,0.47,0.13,0.82,0.28,0.27,0.06,0.08,0.49,30:03.3,30:30.2,0 days 00:00:26.916636,COMPLETE,,
450,450,19.48651762,0.5,0.61,0.27,0.58,0.5,0.43,0.7,0.25,0.15,0.93,0.97,0.22,0,0.27,0.17,0.09,0.59,0.13,0.67,0.59,0.83,0.28,0.45,0,28:04.0,28:30.3,0 days 00:00:26.263454,COMPLETE,,
531,531,19.48783284,0.34,0.58,0.41,0.72,0.46,0.49,0.71,0.23,0.11,0.97,0.97,0.06,0.07,0.27,0.05,0.04,0.49,0.68,0.57,0.62,0.17,0.03,0.37,0.06,56:04.5,56:59.1,0 days 00:00:54.594622,COMPLETE,,
528,528,19.48895731,0.39,0.58,0.38,0.7,0.45,0.49,0.71,0.23,0.11,0.97,0.97,0.1,0.06,0.27,0.06,0.04,0.51,0.71,0.62,0.69,0.15,0.11,0.36,0.08,54:24.6,54:54.7,0 days 00:00:30.074985,COMPLETE,,
537,537,19.48956678,0.36,0.57,0.37,0.7,0.5,0.48,0.69,0.22,0.11,0.89,0.95,0.1,0.08,0.28,0.07,0.02,0.47,0.67,0.62,0.68,0.14,0.06,0.33,0.1,01:17.2,02:00.6,0 days 00:00:43.432807,COMPLETE,,
660,660,19.48978694,0.09,0.67,0.43,0.76,0.38,0.55,0.5,0.38,0.12,0.6,0.29,0.02,0.85,0.15,0.19,0.09,0.31,0.14,0.88,0.31,0.1,0.08,0.14,0.64,44:22.6,45:15.7,0 days 00:00:53.044270,COMPLETE,,
550,550,19.4903084,0.34,0.1,0.35,0.69,0.45,0.5,0.72,0.27,0.14,0.93,0.95,0.02,0.01,0.29,0.03,0.03,0.54,0.66,0.47,0.63,0.12,0.14,0.24,0.06,12:13.3,13:08.1,0 days 00:00:54.753555,COMPLETE,,
705,705,19.49086751,0.18,0.66,0.53,0.88,0.37,0.55,0.54,0.39,0.1,0.56,0.5,0.03,0.83,0.04,0.16,0.08,0.4,0.15,0.96,0.28,0.09,0.04,0.12,0.53,27:50.9,28:20.5,0 days 00:00:29.590286,COMPLETE,,
995,995,19.49169466,0.12,0.34,0.7,0.74,0.45,0.49,0.62,0.17,0.17,0.44,0.38,0.92,0.98,0.07,0,0.06,0.41,0.23,0.93,0.18,0.31,0.07,0.12,0.54,09:03.8,09:32.7,0 days 00:00:28.919375,COMPLETE,,
581,581,19.49263156,0.45,0.64,0.44,0.66,0.39,0.53,0.59,0.28,0.1,0.55,0.97,0.08,0.1,0.23,0.18,0,0.5,0.19,0.62,0.21,0.08,0.13,0.28,0.1,38:01.7,38:44.2,0 days 00:00:42.462346,COMPLETE,,
629,629,19.49265414,0.02,0.64,0.43,0.81,0.33,0.52,0.48,0.38,0.1,0.6,0.24,0.04,0.79,0.11,0.2,0.1,0.41,0.17,0.92,0.26,0.06,0.06,0.19,0.73,08:36.1,09:11.6,0 days 00:00:35.488530,COMPLETE,,
325,325,19.49329559,0.65,0.77,0.14,0.48,0.5,0.52,0.8,0.19,0.12,0.98,0.91,0.31,0.27,0.43,0.33,0.09,1,0.04,0.14,0.54,0.77,0.94,0.46,0.23,21:33.0,22:40.6,0 days 00:01:07.585804,COMPLETE,,
447,447,19.49336983,0.43,0.59,0.28,0.57,0.47,0.46,0.68,0.23,0.15,0.96,0.96,0.21,0.1,0.3,0.09,0.04,0.6,0.08,0.8,0.57,0.79,0.38,0.49,0.07,26:41.8,27:08.3,0 days 00:00:26.518736,COMPLETE,,
330,330,19.49357778,0.65,0.75,0.14,0.5,0.43,0.51,0.81,0.16,0.12,0.95,0.92,0.27,0.19,0.39,0.33,0.03,1,0.04,0.16,0.54,0.78,0.97,0.43,0.23,25:57.9,26:55.2,0 days 00:00:57.340720,COMPLETE,,
748,748,19.49383725,0.23,0.68,0.44,0.92,0.38,0.55,0.53,0.32,0.09,0.58,0.45,0.03,0.81,0.17,0.22,0.04,0.31,0.16,0.93,0.18,0,0.04,0.16,0.57,58:00.4,58:37.8,0 days 00:00:37.446914,COMPLETE,,
897,897,19.49398532,0.09,0.4,0.7,0.74,0.42,0.46,0.67,0.18,0.17,0.5,0.38,0.92,0.98,0.06,0.04,0,0.47,0.25,0.85,0.29,0.2,0.04,0.04,0.45,51:29.7,51:53.1,0 days 00:00:23.468599,COMPLETE,,
510,510,19.49629083,0.44,0.61,0.32,0.62,0.43,0.43,0.72,0.28,0.15,0.95,1,0.2,0.1,0.31,0.09,0.06,0.58,0.7,0.68,0.67,1,0.27,0.42,0.13,44:42.4,45:25.7,0 days 00:00:43.338833,COMPLETE,,
512,512,19.49726892,0.44,0.61,0.3,0.63,0.43,0.42,0.7,0.27,0.15,0.94,0.98,0.16,0.13,0.24,0.12,0.06,0.55,0.73,0.7,0.71,1,0.27,0.43,0.12,46:04.0,46:39.6,0 days 00:00:35.620533,COMPLETE,,
977,977,19.49820851,0.09,0.22,0.66,0.72,0.49,0.5,0.59,0.2,0.16,0.45,0.38,0.7,0.94,0.07,0.06,0.03,0.5,0.3,0.9,0.11,0.33,0.04,0.1,0.55,53:19.1,54:17.9,0 days 00:00:58.733358,COMPLETE,,
596,596,19.50143501,0.46,0.64,0.4,0.66,0.37,0.52,0.43,0.3,0.11,0.51,0.16,0.1,0.82,0.13,0.16,0.02,0.57,0.23,0.51,0.25,0.04,0.16,0.2,0.57,50:32.9,51:10.5,0 days 00:00:37.554954,COMPLETE,,
620,620,19.50308344,0.13,0.68,0.39,0.83,0.35,0.56,0.55,0.39,0.1,0.61,0.3,0,0.94,0.12,0.23,0.1,0.4,0.14,0.94,0.32,0.07,0,0.19,0.68,02:58.8,03:32.3,0 days 00:00:33.532448,COMPLETE,,
637,637,19.50449508,0,0.63,0.46,0.93,0.32,0.58,0.53,0.38,0.1,0.66,0.28,0.02,0.82,0.09,0.24,0.08,0.39,0.17,0.87,0.23,0.12,0.08,0.18,0.64,13:23.3,13:49.0,0 days 00:00:25.709524,COMPLETE,,
974,974,19.50502313,0.14,0.2,0.61,0.7,0.44,0.49,0.6,0.05,0.11,0.39,0.38,0.66,0.98,0.02,0.04,0,0.48,0.25,0.86,0.17,0.35,0.07,0.1,0.54,50:27.8,51:31.2,0 days 00:01:03.446208,COMPLETE,,
768,768,19.50599813,0.14,0.64,0.47,0.79,0.34,0.55,0.47,0.29,0.1,0.58,0.14,0.05,0.81,0.12,0.18,0.09,0.34,0.13,0.92,0.32,0.11,0,0.18,0.55,11:27.8,12:02.6,0 days 00:00:34.789976,COMPLETE,,1% deviation from best trial
691,691,19.50640799,0.16,0.7,0.5,0.81,0.26,0.5,0.54,0.32,0.1,0.53,0.5,0.86,0.75,0,0.19,0.13,0.39,0.14,0.92,0.24,0.11,0.01,0.21,0.5,19:39.6,20:14.0,0 days 00:00:34.374070,COMPLETE,,
932,932,19.50672234,0.16,0.42,0.69,0.68,0.45,0.52,0.62,0.22,0.09,0.5,0.34,0.94,0.98,0.01,0.05,0.05,0.49,0.29,0.88,0.2,0.33,0.08,0.14,0.52,18:43.5,19:12.9,0 days 00:00:29.431573,COMPLETE,,
824,824,19.50718324,0.13,0.58,0.57,0.75,0.42,0.49,0.6,0.29,0.18,0.49,0.35,0.94,0.93,0.11,0.11,0,0.49,0.16,0.85,0.29,0.17,0.04,0.13,0.56,56:51.0,57:34.0,0 days 00:00:43.059343,COMPLETE,,
641,641,19.50771533,0.07,0.63,0.48,0.85,0.37,0.58,0.5,0.36,0.1,0.65,0.26,0.05,0.78,0.11,0.23,0.12,0.43,0.2,0.88,0.28,0.08,0.03,0.15,0.62,15:51.4,16:22.6,0 days 00:00:31.155789,COMPLETE,,
456,456,19.50952872,0.5,0.51,0.25,0.62,0.47,0.47,0.67,0.2,0.15,1,0.96,0.23,0.02,0.2,0.17,0.04,0.58,0.66,0.72,0.59,0.84,0.29,0.42,0,30:36.8,31:01.8,0 days 00:00:25.064275,COMPLETE,,
579,579,19.51177209,0.43,0.65,0.45,0.7,0.38,0.52,0.55,0.31,0.09,0.52,0.39,0.04,0.13,0.2,0.12,0.02,0.54,0.18,0.6,0.19,0.09,0.1,0.28,0.09,36:50.9,37:27.2,0 days 00:00:36.229321,COMPLETE,,
687,687,19.51180199,0.19,0.7,0.52,0.81,0.28,0.51,0.57,0.4,0.1,0.52,0.43,0.07,0.82,0,0.19,0.1,0.41,0.13,0.94,0.23,0.12,0,0.22,0.52,15:49.5,17:05.4,0 days 00:01:15.912554,COMPLETE,,
889,889,19.51498834,0.08,0.46,0.71,0.74,0.42,0.49,0.65,0.22,0.18,0.51,0.41,0.98,0.98,0.04,0.1,0.02,0.46,0.17,0.88,0.27,0.24,0.03,0.03,0.48,46:20.1,47:03.5,0 days 00:00:43.414791,COMPLETE,,
838,838,19.51679534,0.11,0.59,0.6,0.75,0.39,0.5,0.6,0.25,0.17,0.48,0.3,0.97,0.95,0.1,0.16,0.02,0.45,0.87,0.87,0.31,0.21,0.03,0.14,0.55,08:35.5,10:36.5,0 days 00:02:01.089408,COMPLETE,,
369,369,19.5183412,0.49,0.71,0.14,0.49,0.45,0.41,0.8,0.19,0.13,0.83,0.9,0.25,0.24,0.4,0.25,0.03,0.98,0.39,0.18,0.57,0.86,0.95,0.44,0.2,56:35.8,57:21.4,0 days 00:00:45.601199,COMPLETE,,
566,566,19.51876844,0.46,0.67,0.38,0.67,0.38,0.53,0.63,0.29,0.12,0.57,1,0.08,0.11,0.21,0.13,0,0.39,0.62,0.63,0.73,0.08,0.14,0.23,0.11,27:23.3,27:50.7,0 days 00:00:27.341481,COMPLETE,,
659,659,19.51945557,0.11,0.7,0.41,0.87,0.33,0.52,0.42,0.35,0.1,0.58,0.24,0.04,0.83,0.09,0.22,0.1,0.43,0.21,0.9,0.23,0.05,0.02,0.19,0.6,43:53.9,44:22.6,0 days 00:00:28.730623,COMPLETE,,
985,985,19.51962221,0.1,0.35,0.58,0.69,0.43,0.46,0.64,0.54,0.13,0.41,0.4,0.79,0.89,0.06,0.04,0.05,0.48,0.22,0.93,0.18,0.3,0.08,0.11,0.48,00:55.9,01:55.3,0 days 00:00:59.464110,COMPLETE,,
496,496,19.52134924,0.44,0.62,0.35,0.58,0.51,0.43,0.71,0.28,0.16,0.91,0.96,0.14,0.11,0.18,0.16,0.04,0.56,0.65,0.71,0.66,1,0.25,0.35,0.06,48:00.2,48:29.1,0 days 00:00:28.921617,COMPLETE,,
597,597,19.52258708,0.42,0.68,0.48,0.69,0.4,0.57,0.63,0.32,0.09,0.57,0.2,0.08,0.91,0.16,0.13,0,0.56,0.21,0.59,0.23,0.1,0.52,0.26,0.65,51:10.5,51:42.1,0 days 00:00:31.632343,COMPLETE,,
669,669,19.52269749,0.03,0.68,0.45,0.92,0.32,0.54,0.51,0.34,0.09,0.54,0.21,0.02,0.81,0.06,0.22,0.09,0.38,0.15,0.88,0.31,0,0.07,0.23,0.56,51:53.5,52:27.0,0 days 00:00:33.511620,COMPLETE,,
422,422,19.52287837,0.53,0.63,0.17,0.57,0.48,0.46,0.75,0.22,0.15,1,0.9,0.23,0.26,0.3,0.17,0.02,0.61,0.06,0.16,0.37,0.78,0.98,0.48,0.18,12:41.3,13:08.6,0 days 00:00:27.297027,COMPLETE,,
861,861,19.52338058,0.1,0.55,0.55,0.77,0.38,0.44,0.6,0.28,0.17,0.48,0.34,1,0.95,0.09,0.13,0.02,0.47,0.35,0.83,0.33,0.2,0.03,0.09,0.55,26:54.2,27:24.4,0 days 00:00:30.199826,COMPLETE,,
618,618,19.52393913,0.04,0.65,0.42,0.88,0.32,0.53,0.51,0.34,0.09,0.56,0.25,0.02,0.9,0.09,0.19,0.07,0.37,0.18,0.98,0.28,0.03,0.02,0.13,0.68,01:38.8,02:13.4,0 days 00:00:34.655347,COMPLETE,,
572,572,19.52395616,0.45,0.68,0.44,0.7,0.38,0.53,0.6,0.3,0.09,0.56,0.98,0.06,0.11,0.19,0.15,0,0.52,0.2,0.61,0.24,0.04,0.11,0.26,0.15,31:33.3,32:48.1,0 days 00:01:14.819294,COMPLETE,,
551,551,19.52402281,0.41,0.6,0.43,0.64,0.42,0.48,0.69,0.29,0.17,0.87,0.97,0.15,0,0.26,0.14,0.06,0.57,0.72,0.59,0.61,0.26,0.08,0.34,0.03,13:08.1,13:59.0,0 days 00:00:50.919082,COMPLETE,,
480,480,19.52413558,0.38,0.49,0.4,0.6,0.47,0.47,0.66,0.26,0.17,0.96,0.98,0.17,0,0.28,0.14,0.03,0.52,0.64,0.65,0.62,0.96,0.17,0.39,0.06,41:12.4,41:36.2,0 days 00:00:23.832547,COMPLETE,,
502,502,19.52441378,0.39,0.66,0.37,0.59,0.53,0.41,0.7,0.26,0.15,0.96,0.31,0.17,0.05,0.22,0.2,0.02,0.53,0.66,0.77,0.62,0.97,0.23,0.38,0.05,40:19.0,40:48.8,0 days 00:00:29.790498,COMPLETE,,
735,735,19.52602738,0.15,0.65,0.38,0.81,0.35,0.52,0.48,0.38,0.09,0.54,0.25,0.05,0.83,0.12,0.21,0.13,0.43,0.16,0.91,0.23,0.16,0,0.22,0.62,49:08.4,49:43.6,0 days 00:00:35.149096,COMPLETE,,
593,593,19.52893448,0.45,0.63,0.41,0.69,0.42,0.57,0.53,0.31,0.09,0.52,0.51,0.09,0.77,0.19,0.15,0,0.55,0.23,0.49,0.26,0.1,0.14,0.21,0.15,48:35.4,49:15.9,0 days 00:00:40.574328,COMPLETE,,
506,506,19.52908734,0.47,0.61,0.38,0.57,0.5,0.39,0.69,0.28,0.15,0.98,1,0.14,0.04,0.24,0.17,0,0.58,0.79,0.75,0.68,0.82,0.32,0.31,0.08,42:30.2,43:00.8,0 days 00:00:30.591854,COMPLETE,,
662,662,19.53000978,0.05,0.69,0.5,0.82,0.31,0.54,0.48,0.32,0.09,0.63,0.36,0.06,0.92,0.04,0.17,0.07,0.46,0.16,0.95,0.24,0.06,0.1,0.16,0.74,46:20.9,47:30.0,0 days 00:01:09.159616,COMPLETE,,
499,499,19.53215267,0.36,0.61,0.32,0.56,0.53,0.44,0.72,0.25,0.15,0.92,0.98,0.13,0.06,0.18,0.14,0.03,0.63,0.68,0.71,0.7,1,0.01,0.34,0.07,49:26.4,49:52.3,0 days 00:00:25.846428,COMPLETE,,
694,694,19.53329222,0.22,0.68,0.56,0.84,0.24,0.5,0.54,0.32,0.09,0.49,0.54,0,0.81,0.03,0.17,0.07,0.48,0.14,0.96,0.21,0.13,0.02,0.18,0.59,21:31.4,22:04.6,0 days 00:00:33.175335,COMPLETE,,
633,633,19.53780496,0.06,0.64,0.45,0.91,0.37,0.58,0.52,0.36,0.09,0.61,0.17,0,0.89,0.07,0.2,0.08,0.36,0.19,0.98,0.29,0.08,0.08,0.2,0.55,11:05.6,11:38.3,0 days 00:00:32.758903,COMPLETE,,
678,678,19.5383694,0.03,0.65,0.41,0.87,0.37,0.53,0.55,0.31,0.1,0.56,0.3,0.04,0.8,0.05,0.22,0.13,0.46,0.17,0.96,0.31,0.06,0.11,0.17,0.59,01:50.7,02:50.2,0 days 00:00:59.506574,COMPLETE,,
653,653,19.54194382,0.12,0.69,0.47,0.85,0.32,0.56,0.48,0.32,0.09,0.63,0.31,0.05,0.84,0.03,0.24,0.09,0.38,0.19,0.85,0.26,0.1,0.04,0.12,0.6,36:35.1,37:50.1,0 days 00:01:15.057646,COMPLETE,,
875,875,19.54196291,0.09,0.5,0.68,0.71,0.43,0.44,0.68,0.22,0.14,0.5,0.39,0.96,0.97,0.02,0.09,0.27,0.42,0.19,0.85,0.26,0.25,0.02,0.14,0.55,35:49.6,37:07.5,0 days 00:01:17.873820,COMPLETE,,
497,497,19.54455274,0.44,0.62,0.36,0.57,0.51,0.41,0.71,0.27,0.15,0.89,0.96,0.1,0.11,0.14,0.11,0.01,0.55,0.69,0.57,0.65,0.96,0.16,0.31,0.11,48:29.1,48:59.4,0 days 00:00:30.320537,COMPLETE,,
457,457,19.54487297,0.49,0.55,0.27,0.63,0.47,0.47,0.67,0.2,0.16,1,0.97,0.23,0.01,0.27,0.18,0.09,0.58,0.62,0.7,0.59,0.89,0.26,0.45,0.06,31:01.8,31:27.3,0 days 00:00:25.435141,COMPLETE,,
569,569,19.54596785,0.44,0.67,0.37,0.69,0.4,0.54,0.57,0.3,0.09,0.67,1,0.08,0.15,0.2,0.11,0,0.51,0.6,0.6,0.26,0.11,0.07,0.23,0.14,28:53.8,29:38.9,0 days 00:00:45.120886,COMPLETE,,
324,324,19.54776272,0.65,0.77,0.13,0.44,0.48,0.54,0.8,0.21,0.13,0.13,0.92,0.27,0.27,0.44,0.34,0.08,0.98,0.04,0.16,0.57,0.77,0.94,0.43,0.28,20:26.0,21:33.0,0 days 00:01:07.046075,COMPLETE,,
320,320,19.54787379,0.67,0.77,0.14,0.42,0.48,0.53,0.78,0.23,0.13,0.14,0.92,0.3,0.26,0.44,0.37,0.09,0.98,0.04,0.16,0.54,0.76,0.92,0.48,0.28,16:53.0,17:37.1,0 days 00:00:44.006973,COMPLETE,,
561,561,19.54874981,0.39,0.63,0.39,0.6,0.44,0.45,0.67,0.28,0.17,0.94,0.94,0.16,0,0.3,0.11,0.02,0.65,0.7,0.66,0.64,0.07,0.15,0.37,0.09,24:15.0,24:57.9,0 days 00:00:42.881110,COMPLETE,,
727,727,19.54962362,0.09,0.69,0.41,0.87,0.39,0.52,0.55,0.3,0.1,0.57,0.67,0.02,0.76,0.02,0.2,0.13,0.46,0.13,0.96,0.27,0.07,0.02,0.22,0.7,44:07.2,44:55.4,0 days 00:00:48.175570,COMPLETE,,
321,321,19.55037371,0.68,0.77,0.15,0.43,0.48,0.53,0.79,0.2,0.13,0.14,0.91,0.31,0.27,0.44,0.39,0.08,0.98,0.04,0.19,0.53,0.77,0.92,0.49,0.3,17:37.1,18:31.5,0 days 00:00:54.418723,COMPLETE,,
518,518,19.55128959,0.4,0.59,0.32,0.69,0.41,0.49,0.7,0.28,0.15,0.64,0.98,0.18,0.03,0.22,0.05,0.07,0.58,0.77,0.67,0.64,0.97,0.28,0.41,0.14,49:20.5,49:55.2,0 days 00:00:34.760611,COMPLETE,,
703,703,19.55172962,0.14,0.66,0.55,0.84,0.33,0.53,0.55,0.31,0.13,0.47,0.51,0,0.76,0.02,0.21,0.46,0.33,0.12,0.92,0.2,0.11,0,0.16,0.56,26:50.1,27:22.0,0 days 00:00:31.832017,COMPLETE,,
560,560,19.55276459,0.41,0.6,0.34,0.64,0.47,0.47,0.63,0.25,0.14,0.95,0.96,0.1,0.04,0.25,0.08,0.06,0.62,0.73,0.71,0.67,0.14,0.21,0.39,0.14,23:30.6,24:15.0,0 days 00:00:44.422068,COMPLETE,,
564,564,19.55320682,0.47,0.67,0.36,0.69,0.52,0.51,0.65,0.3,0.13,0.86,1,0.1,0.1,0.19,0.14,0.04,0.55,0.64,0.63,0.74,0.12,0.12,0.3,0.12,26:20.4,26:55.1,0 days 00:00:34.718877,COMPLETE,,
358,358,19.55619005,0.61,0.73,0.17,0.55,0.41,0.51,0.78,0.18,0.13,0.92,0.92,0.26,0.23,0.38,0.29,0.06,1,0.06,0.15,0.42,0.78,0.95,0.52,0.21,48:13.7,48:52.5,0 days 00:00:38.800149,COMPLETE,,
827,827,19.55670869,0.11,0.54,0.68,0.74,0.43,0.46,0.64,0.26,0.18,0.43,0.34,0.98,0.94,0.12,0.15,0.01,0.47,0.12,0.86,0.33,0.23,0.04,0.1,0.58,59:09.1,59:49.2,0 days 00:00:40.083886,COMPLETE,,
642,642,19.55695936,0.04,0.67,0.45,0.8,0.31,0.56,0.56,0.33,0.09,0.56,0.18,0.03,0.8,0.08,0.19,0.1,0.45,0.17,0.92,0.23,0.05,0.07,0.18,0.7,16:22.6,17:14.3,0 days 00:00:51.747133,COMPLETE,,
845,845,19.55761762,0.14,0.59,0.63,0.79,0.43,0.45,0.59,0.3,0.17,0.45,0.28,0.97,1,0.11,0.13,0,0.47,0.12,0.78,0.38,0.22,0.02,0.08,0.62,16:54.2,17:36.9,0 days 00:00:42.687221,COMPLETE,,
901,901,19.5586468,0.09,0.46,0.65,0.74,0.41,0.46,0.68,0.23,0.18,0.48,0.35,1,0.98,0.08,0.06,0,0.51,0.25,0.88,0.27,0.25,0.06,0.06,0.83,56:08.3,56:44.1,0 days 00:00:35.758722,COMPLETE,,
403,403,19.55950261,0.54,0.75,0.11,0.49,0.4,0.49,0.84,0.23,0.13,1,0.94,0.22,0.28,0.44,0.28,0.04,0.98,0.5,0.18,0.39,0.77,0.98,0.46,0.24,03:27.5,03:54.7,0 days 00:00:27.210087,COMPLETE,,
410,410,19.5596282,0.6,0.76,0.14,0.51,0.34,0.48,0.79,0.18,0.13,0.84,0.96,0.28,0.26,0.45,0.21,0.02,0.96,0.07,0.14,0.35,0.81,0.94,0.51,0.2,07:13.1,07:43.8,0 days 00:00:30.751362,COMPLETE,,
883,883,19.55968767,0.08,0.45,0.67,0.72,0.44,0.48,0.65,0.23,0.19,0.48,0.4,0.91,0.97,0.04,0.09,0,0.44,0.2,0.85,0.29,0.18,0,0.06,0.56,42:15.2,42:57.2,0 days 00:00:42.042507,COMPLETE,,
877,877,19.56069388,0.91,0.51,0.71,0.71,0.45,0.46,0.68,0.21,0.18,0.5,0.4,0.9,1,0.04,0.11,0.04,0.45,0.19,0.87,0.28,0.21,0,0.08,0.48,37:44.6,38:48.4,0 days 00:01:03.733258,COMPLETE,,
430,430,19.56204245,0.49,0.6,0.27,0.63,0.52,0.49,0.73,0.25,0.17,0.99,0.98,0.21,0.3,0.32,0.06,0.06,0.57,0.09,0.82,0.59,0.81,0.97,0.46,0.04,16:24.6,16:56.8,0 days 00:00:32.164821,COMPLETE,,
829,829,19.56218033,0.15,0.55,0.62,0.74,0.43,0.49,0.61,0.25,0.19,0.46,0.33,0.73,0.91,0.1,0.13,0,0.49,0.13,0.84,0.34,0.19,0.02,0.12,0.64,00:55.3,02:00.1,0 days 00:01:04.863304,COMPLETE,,
348,348,19.56369112,0.64,0.71,0.13,0.51,0.32,0.49,0.78,0.14,0.13,1,0.93,0.23,0.23,0.4,0.34,0.04,1,0.06,0.16,0.53,0.79,0.97,0.45,0.19,40:46.2,41:30.6,0 days 00:00:44.367185,COMPLETE,,
786,786,19.56415067,0.08,0.62,0.54,0.76,0.39,0.49,0.64,0.29,0.08,0.49,0.19,0.1,0.87,0.1,0.14,0.03,0.44,0.17,0.95,0.23,0.11,0.06,0.11,0.59,23:15.7,23:47.8,0 days 00:00:32.050874,COMPLETE,,
451,451,19.56421822,0.51,0.61,0.26,0.58,0.48,0.45,0.68,0.21,0.16,0.93,0.98,0.22,0.03,0.27,0.08,0.07,0.61,0.13,0.68,0.57,0.86,0.47,0.46,0.04,28:30.3,28:57.0,0 days 00:00:26.745456,COMPLETE,,
