irr_efficiency,mae
0.2,34.51594146670915
0.21000000000000002,34.27064905753155
0.22,34.108498094802094
0.23,33.99352641914621
0.24000000000000002,33.92619696940599
0.25,33.88175254370651
0.26,33.85280795502349
0.27,33.83947303400369
0.28,33.84672346052318
0.29000000000000004,33.880508791188575
0.30000000000000004,33.92516069425076
0.31,33.99252599725635
0.32,34.065510499466114
0.33,34.146436160848154
0.34,34.22747436983019
0.35,34.31643929993205
0.36,34.41082652670982
0.37,34.51290833078889
0.38,34.61762950923136
0.39,34.72011895326547
0.4,34.82229830634094
