system:index,ETi,area,closestFieldsEtAvg,endDate,et,groupNumber,meterMinusModelDepth,meterMinusModelDepthAbs,meterMinusModelVolume,meterMinusModelVolumeAbs,numberOfClosestFields,startDate,system:time_end,system:time_start,waterMeterDepth,waterMeterVolume,waterModelDepth,waterModelVolume
0_0_104_000000000000000001d5,0,469668.10469782137,55.18212498684966,9/1/2019,48.06166032810496,32,0.7943694831907767,0.7943694831907767,373.0900096,373.0900096,3,8/1/2019,1.56732E+12,1.56464E+12,0.7943694831907767,373.0900096,0,0
0_0_105_00000000000000000231,0,271207.86421645555,36.97749269263777,10/1/2019,19.717315589748917,18,0,0,0,0,10,9/1/2019,1.56991E+12,1.56732E+12,0,0,0,0
0_0_106_0000000000000000003b,0,136664.5351726821,27.602761853469804,11/1/2019,27.302911620716316,26,9.702803447,9.702803447,1326.029123,1326.029123,12,10/1/2019,1.57259E+12,1.56991E+12,9.702803447,1326.029123,0,0
0_0_106_00000000000000000092,0,197246.06484357684,26.066770260196055,11/1/2019,24.378711504550875,33,0,0,0,0,4,10/1/2019,1.57259E+12,1.56991E+12,0,0,0,0
0_0_107_0000000000000000003c,0,136664.5351726821,13.698714344432709,12/1/2019,12.374156145323369,26,1.9056605114920744,1.9056605114920744,260.43620799999997,260.43620799999997,12,11/1/2019,1.57519E+12,1.57259E+12,1.9056605114920744,260.43620799999997,0,0
0_0_107_00000000000000000093,0,197246.06484357684,14.662094570862989,12/1/2019,12.526316726929448,33,0,0,0,0,4,11/1/2019,1.57519E+12,1.57259E+12,0,0,0,0
0_0_108_0000000000000000006d,0,136664.5351726821,7.330622133824824,1/1/2020,5.559391909301726,26,0,0,0,0,12,12/1/2019,1.57787E+12,1.57519E+12,0,0,0,0
0_0_11_00000000000000000168,0,164651.4991778439,11.527771792324472,12/1/2011,10.947895534818167,30,24.65264612389394,24.65264612389394,4059.095143,4059.095143,9,11/1/2011,1.32273E+12,1.32013E+12,24.65264612389394,4059.095143,0,0
0_0_111_0000000000000000018a,0,154262.61811411605,34.01389974574147,4/1/2020,32.44713761760484,30,4.392434137859328,4.392434137859328,677.58839,677.58839,11,3/1/2020,1.58572E+12,1.58305E+12,4.392434137859328,677.58839,0,0
0_0_111_00000000000000000097,0,197246.06484357684,35.33870266932178,4/1/2020,29.75523217498174,33,0,0,0,0,4,3/1/2020,1.58572E+12,1.58305E+12,0,0,0,0
0_0_112_0000000000000000018b,0,154262.61811411605,48.82936324454649,5/1/2020,34.92673759026813,30,0.8220477297111032,0.8220477297111032,126.811235,126.811235,11,4/1/2020,1.58832E+12,1.58572E+12,0.8220477297111032,126.811235,0,0
0_0_112_0000000000000000008c,0,197246.06484357684,57.29022835160529,5/1/2020,44.220761640126824,33,2.9189979605250875,2.9189979605250875,575.760861,575.760861,4,4/1/2020,1.58832E+12,1.58572E+12,2.9189979605250875,575.760861,0,0
0_0_113_0000000000000000013d,0,1021784.5886508146,68.75682567010148,6/1/2020,64.70124175451473,1,14.995162078370408,14.995162078370408,15321.82552,15321.82552,32,5/1/2020,1.59099E+12,1.58832E+12,14.995162078370408,15321.82552,0,0
0_0_113_00000000000000000213,0,447255.12264764094,72.22297709358969,6/1/2020,56.90156822697733,9,12.465684206131268,12.465684206131268,5575.341119,5575.341119,6,5/1/2020,1.59099E+12,1.58832E+12,12.465684206131268,5575.341119,0,0
0_0_113_00000000000000000263,0,278180.2347728517,81.99177824088574,6/1/2020,76.83822121215992,10,17.736414681038703,17.736414681038703,4933.92,4933.92,31,5/1/2020,1.59099E+12,1.58832E+12,17.736414681038703,4933.92,0,0
0_0_113_0000000000000000003f,0,136664.5351726821,61.79190860577568,6/1/2020,58.34462767328008,26,57.671159171186744,57.671159171186744,7881.602161,7881.602161,12,5/1/2020,1.59099E+12,1.58832E+12,57.671159171186744,7881.602161,0,0
0_0_113_0000000000000000021c,0,466135.0442,90.96297224,6/1/2020,85.53605667452975,37,20.085608420617067,20.085608420617067,9362.605969,9362.605969,15,5/1/2020,1.59099E+12,1.58832E+12,20.085608420617067,9362.605969,0,0
0_0_114_00000000000000000117,0,1637586.3283170746,75.97098328966264,7/1/2020,74.72542864406708,12,14.905245659863574,14.905245659863574,24408.62651,24408.62651,16,6/1/2020,1.59359E+12,1.59099E+12,14.905245659863574,24408.62651,0,0
0_0_114_000000000000000000f5,0,1008513.2941373616,68.59216701139157,7/1/2020,64.23182035221753,15,29.03158751906564,29.03158751906564,29278.74196,29278.74196,9,6/1/2020,1.59359E+12,1.59099E+12,29.03158751906564,29278.74196,0,0
0_0_114_0000000000000000022a,0,271207.86421645555,76.57968174942916,7/1/2020,65.29870821853719,18,2.591227833788457,2.591227833788457,702.7613665,702.7613665,10,6/1/2020,1.59359E+12,1.59099E+12,2.591227833788457,702.7613665,0,0
0_0_114_0000000000000000021d,0,466135.0442,93.83523449415735,7/1/2020,84.70911771376733,37,19.494573390717214,19.494573390717214,9087.10383,9087.10383,15,6/1/2020,1.59359E+12,1.59099E+12,19.494573390717214,9087.10383,0,0
0_0_115_00000000000000000214,0,447255.12264764094,91.62195452142787,8/1/2020,83.41046224,9,78.42391003,78.42391003,35075.4955,35075.4955,6,7/1/2020,1.59627E+12,1.59359E+12,78.42391003,35075.4955,0,0
0_0_117_00000000000000000215,0,447255.12264764094,37.05288343005364,10/1/2020,32.13550399,9,39.72692568643455,39.72692568643455,17768.07102,17768.07102,6,9/1/2020,1.60154E+12,1.59894E+12,39.72692568643455,17768.07102,0,0
0_0_117_00000000000000000083,0,144160.55888836336,44.13797251032741,10/1/2020,39.158019444037315,27,16.18610988180868,16.18610988180868,2333.398647,2333.398647,11,9/1/2020,1.60154E+12,1.59894E+12,16.18610988180868,2333.398647,0,0
0_0_12_00000000000000000169,0,164651.4991778439,5.363966469428313,1/1/2012,5.175703089965619,30,25.360751598682647,25.360751598682647,4175.6857709999995,4175.6857709999995,9,12/1/2011,1.3254E+12,1.32273E+12,25.360751598682647,4175.6857709999995,0,0
0_0_120_0000000000000000006f,0,136664.5351726821,15.625980488076356,1/1/2021,14.946019067250711,26,0,0,0,0,12,12/1/2020,1.60949E+12,1.60681E+12,0,0,0,0
0_0_120_00000000000000000191,0,154262.61811411605,16.58601498291549,1/1/2021,16.156639405881947,30,0.409796928,0.409796928,63.216347,63.216347,11,12/1/2020,1.60949E+12,1.60681E+12,0.409796928,63.216347,0,0
0_0_122_00000000000000000070,0,136664.5351726821,19.826375613464634,3/1/2021,14.79564545220304,26,0,0,0,0,12,2/1/2021,1.61459E+12,1.61217E+12,0,0,0,0
0_0_123_00000000000000000071,0,136664.5351726821,41.60379313712893,4/1/2021,37.95292450399382,26,0,0,0,0,12,3/1/2021,1.61726E+12,1.61459E+12,0,0,0,0
0_0_125_00000000000000000234,0,300941.6977679161,80.91982399824067,6/1/2021,63.570075802023005,6,30.853420584343827,30.853420584343827,9285.080773,9285.080773,10,5/1/2021,1.62253E+12,1.61985E+12,30.853420584343827,9285.080773,0,0
0_0_125_00000000000000000216,0,447255.12264764094,76.84582489,6/1/2021,70.26636901227826,9,59.741591604196095,59.741591604196095,26719.73288,26719.73288,6,5/1/2021,1.62253E+12,1.61985E+12,59.741591604196095,26719.73288,0,0
0_0_125_00000000000000000265,0,278180.2347728517,86.82596986,6/1/2021,78.74233622307625,10,39.906933032337086,39.906933032337086,11101.32,11101.32,31,5/1/2021,1.62253E+12,1.61985E+12,39.906933032337086,11101.32,0,0
0_0_125_000000000000000000f7,0,1008513.2941373616,71.99430475099622,6/1/2021,67.33785074291491,15,17.921249715859776,17.921249715859776,18073.81859,18073.81859,9,5/1/2021,1.62253E+12,1.61985E+12,17.921249715859776,18073.81859,0,0
0_0_125_00000000000000000046,0,136664.5351726821,69.95079005410467,6/1/2021,64.97992785364596,26,66.43775149512922,66.43775149512922,9079.684426,9079.684426,12,5/1/2021,1.62253E+12,1.61985E+12,66.43775149512922,9079.684426,0,0
0_0_125_0000000000000000014d,0,1699157.854706472,72.49712666194185,6/1/2021,66.89183412610276,31,26.95300158083986,26.95300158083986,45797.40434,45797.40434,15,5/1/2021,1.62253E+12,1.61985E+12,26.95300158083986,45797.40434,0,0
0_0_125_000000000000000001d6,0,469668.10469782137,61.18299949463135,6/1/2021,55.633668639497124,32,16.539617302388287,16.539617302388287,7768.130711,7768.130711,3,5/1/2021,1.62253E+12,1.61985E+12,16.539617302388287,7768.130711,0,0
0_0_125_0000000000000000021f,0,466135.0442,88.06308547,6/1/2021,86.21702806508196,37,21.82124311409466,21.82124311409466,10171.646123999999,10171.646123999999,15,5/1/2021,1.62253E+12,1.61985E+12,21.82124311409466,10171.646123999999,0,0
0_0_126_000000000000000000bd,0,326215.8290741774,90.35820044838242,7/1/2021,83.69007676384336,8,61.893103527232356,61.893103527232356,20190.51008,20190.51008,8,6/1/2021,1.62512E+12,1.62253E+12,61.893103527232356,20190.51008,0,0
0_0_126_000000000000000001d7,0,469668.10469782137,100.00394853735826,7/1/2021,86.66519642040036,32,20.729690653071003,20.729690653071003,9736.07452,9736.07452,3,6/1/2021,1.62512E+12,1.62253E+12,20.729690653071003,9736.07452,0,0
0_0_127_00000000000000000123,0,361322.1192130085,101.08794916594475,8/1/2021,92.88783035661882,14,36.42225714,36.42225714,13160.16714,13160.16714,29,7/1/2021,1.6278E+12,1.62512E+12,36.42225714,13160.16714,0,0
0_0_128_00000000000000000124,0,361322.1192130085,80.06877206805603,9/1/2021,74.75337936970598,14,25.76142250541988,25.76142250541988,9308.171773600001,9308.171773600001,29,8/1/2021,1.63048E+12,1.6278E+12,25.76142250541988,9308.171773600001,0,0
0_0_128_000000000000000001d8,0,469668.10469782137,70.18801976763848,9/1/2021,49.47980286698025,32,85.74477073556066,85.74477073556066,40271.58396,40271.58396,3,8/1/2021,1.63048E+12,1.6278E+12,85.74477073556066,40271.58396,0,0
0_0_129_00000000000000000217,0,447255.12264764094,43.04514339070221,10/1/2021,37.294614513817976,9,16.266285416548648,16.266285416548648,7275.179478999999,7275.179478999999,6,9/1/2021,1.63307E+12,1.63048E+12,16.266285416548648,7275.179478999999,0,0
0_0_129_00000000000000000047,0,136664.5351726821,37.44782750911682,10/1/2021,37.131203298119026,26,48.21487285398625,48.21487285398625,6589.263187,6589.263187,12,9/1/2021,1.63307E+12,1.63048E+12,48.21487285398625,6589.263187,0,0
0_0_132_00000000000000000074,0,136664.5351726821,2.721253658,1/1/2022,0.033908786,26,0,0,0,0,12,12/1/2021,1.64102E+12,1.63835E+12,0,0,0,0
0_0_136_00000000000000000048,0,136656.81518949024,58.51796300439207,5/1/2022,50.09415099201235,26,13.844519319264089,13.844519319264089,1891.9479179999998,1891.9479179999998,15,4/1/2022,1.65139E+12,1.6488E+12,13.844519319264089,1891.9479179999998,0,0
0_0_137_00000000000000000202,0,429135.29578075523,69.75507920028618,6/1/2022,62.21568319515963,9,54.520063525497655,54.520063525497655,23396.48359,23396.48359,4,5/1/2022,1.65407E+12,1.65139E+12,54.520063525497655,23396.48359,0,0
0_0_137_000000000000000001e1,0,271920.8003264257,75.12248572502173,6/1/2022,73.24478101762016,10,22.680868813994298,22.680868813994298,6167.4,6167.4,31,5/1/2022,1.65407E+12,1.65139E+12,22.680868813994298,6167.4,0,0
0_0_137_00000000000000000049,0,136656.81518949024,61.26797824604885,6/1/2022,32.92056171089925,26,59.31149413046872,59.31149413046872,8105.3198919999995,8105.3198919999995,15,5/1/2022,1.65407E+12,1.65139E+12,59.31149413046872,8105.3198919999995,0,0
0_0_137_000000000000000001d9,0,469668.10469782137,61.37413279017545,6/1/2022,44.21105535177149,32,0.37585056929419125,0.37585056929419125,176.5250245,176.5250245,2,5/1/2022,1.65407E+12,1.65139E+12,0.37585056929419125,176.5250245,0,0
0_0_138_000000000000000000be,0,323310.05726280814,87.30170275340377,7/1/2022,54.25721770392616,8,32.26699959788127,32.26699959788127,10432.245487690001,10432.245487690001,8,6/1/2022,1.65666E+12,1.65407E+12,32.26699959788127,10432.245487690001,0,0
0_0_138_00000000000000000203,0,429135.29578075523,85.94779556762404,7/1/2022,71.00272765595169,9,48.55114554115955,48.55114554115955,20835.0102,20835.0102,4,6/1/2022,1.65666E+12,1.65407E+12,48.55114554115955,20835.0102,0,0
0_0_138_00000000000000000105,0,1458115.6393016765,89.15339353635201,7/1/2022,75.70796066132343,12,4.954269973532197,4.954269973532197,7223.89853,7223.89853,10,6/1/2022,1.65666E+12,1.65407E+12,4.954269973532197,7223.89853,0,0
0_0_138_000000000000000000dd,0,986130.6484304602,86.97241033196784,7/1/2022,74.72511421424552,15,31.333691190350358,31.333691190350358,30899.11321,30899.11321,9,6/1/2022,1.65666E+12,1.65407E+12,31.333691190350358,30899.11321,0,0
0_0_138_000000000000000001fc,0,261396.93308642955,86.19017813,7/1/2022,81.09643557659788,18,47.81301176,47.81301176,12498.17463,12498.17463,9,6/1/2022,1.65666E+12,1.65407E+12,47.81301176,12498.17463,0,0
0_0_138_0000000000000000004a,0,136656.81518949024,66.00349499,7/1/2022,44.18995104354548,26,71.25024528413584,71.25024528413584,9736.831602,9736.831602,15,6/1/2022,1.65666E+12,1.65407E+12,71.25024528413584,9736.831602,0,0
0_0_139_000000000000000001c7,0,1154822.601368434,101.71082232570188,8/1/2022,92.65742942755432,3,14.976503883302632,14.976503883302632,17295.20517,17295.20517,18,7/1/2022,1.65934E+12,1.65666E+12,14.976503883302632,17295.20517,0,0
0_0_139_00000000000000000218,0,294373.49360981706,102.3145856314096,8/1/2022,97.88273662502097,6,86.88066737727193,86.88066737727193,25575.36558,25575.36558,12,7/1/2022,1.65934E+12,1.65666E+12,86.88066737727193,25575.36558,0,0
0_0_140_000000000000000000bf,0,323310.05726280814,58.90184045417634,9/1/2022,42.64257842,8,50.66787540257082,50.66787540257082,16381.4337,16381.4337,8,8/1/2022,1.66202E+12,1.65934E+12,50.66787540257082,16381.4337,0,0
0_0_140_000000000000000001fd,0,261396.93308642955,85.06709305,9/1/2022,83.37184984781875,18,60.676880807341846,60.676880807341846,15860.75055,15860.75055,9,8/1/2022,1.66202E+12,1.65934E+12,60.676880807341846,15860.75055,0,0
0_0_141_00000000000000000142,0,1007038.4220697415,35.771530595339726,10/1/2022,34.274891143528876,1,73.10995236475813,73.10995236475813,73624.53107,73624.53107,36,9/1/2022,1.66461E+12,1.66202E+12,73.10995236475813,73624.53107,0,0
0_0_141_00000000000000000204,0,429135.29578075523,46.38196897228724,10/1/2022,41.172561434251094,9,112.5596160451181,112.5596160451181,48303.30412,48303.30412,4,9/1/2022,1.66461E+12,1.66202E+12,112.5596160451181,48303.30412,0,0
0_0_141_0000000000000000011d,0,355544.6633680257,56.98188288455881,10/1/2022,56.00731846,14,26.818416754944046,26.818416754944046,9535.144957,9535.144957,30,9/1/2022,1.66461E+12,1.66202E+12,26.818416754944046,9535.144957,0,0
0_0_141_000000000000000001e8,0,1577032.3348753797,40.16291947674241,10/1/2022,39.681420497589826,17,12.837485519026984,12.837485519026984,20245.12976,20245.12976,19,9/1/2022,1.66461E+12,1.66202E+12,12.837485519026984,20245.12976,0,0
0_0_146_0000000000000000007a,0,136656.81518949024,13.78116738137329,3/1/2023,10.591548569956196,26,0,0,0,0,15,2/1/2023,1.67766E+12,1.67524E+12,0,0,0,0
0_0_146_0000000000000000007f,0,136498.10105722924,13.78116738137329,3/1/2023,10.59137677609015,28,0,0,0,0,15,2/1/2023,1.67766E+12,1.67524E+12,0,0,0,0
0_0_147_0000000000000000004e,0,136656.81518949024,27.99294177550274,4/1/2023,22.77606287039423,26,0.1662007121160155,0.1662007121160155,22.71246,22.71246,15,3/1/2023,1.68033E+12,1.67766E+12,0.1662007121160155,22.71246,0,0
0_0_147_00000000000000000054,0,136498.10105722924,27.99294177550274,4/1/2023,22.777456870986878,28,0.16639396316932936,0.16639396316932936,22.71246,22.71246,15,3/1/2023,1.68033E+12,1.67766E+12,0.16639396316932936,22.71246,0,0
0_0_148_0000000000000000004f,0,136656.81518949024,39.293687910219795,5/1/2023,37.14485957227518,26,29.932748252094388,29.932748252094388,4090.514046,4090.514046,15,4/1/2023,1.68292E+12,1.68033E+12,29.932748252094388,4090.514046,0,0
0_0_148_00000000000000000055,0,136498.10105722924,39.293687910219795,5/1/2023,37.14933340209906,28,1.7776421731923355,1.7776421731923355,242.64478100000002,242.64478100000002,15,4/1/2023,1.68292E+12,1.68033E+12,1.7776421731923355,242.64478100000002,0,0
0_0_149_00000000000000000128,0,1082083.0253442288,83.10434657751428,6/1/2023,67.75612661674606,2,15.958775431771079,15.958775431771079,17268.72,17268.72,15,5/1/2023,1.6856E+12,1.68292E+12,15.958775431771079,17268.72,0,0
0_0_149_00000000000000000274,0,440070.8881,78.79846300371892,6/1/2023,77.73149111,7,78.46786333182214,78.46786333182214,34531.422303809995,34531.422303809995,7,5/1/2023,1.6856E+12,1.68292E+12,78.46786333182214,34531.422303809995,0,0
0_0_149_00000000000000000205,0,429135.29578075523,86.16061588539748,6/1/2023,67.50887314746701,9,101.50538141016608,101.50538141016608,43559.54187,43559.54187,4,5/1/2023,1.6856E+12,1.68292E+12,101.50538141016608,43559.54187,0,0
0_0_149_000000000000000001e3,0,271920.8003264257,99.97086695,6/1/2023,88.16573118,10,45.361737627988596,45.361737627988596,12334.8,12334.8,31,5/1/2023,1.6856E+12,1.68292E+12,45.361737627988596,12334.8,0,0
0_0_149_00000000000000000106,0,1458115.6393016765,93.51552529440943,6/1/2023,70.23841989220381,12,8.973576291594032,8.973576291594032,13084.51193,13084.51193,10,5/1/2023,1.6856E+12,1.68292E+12,8.973576291594032,13084.51193,0,0
0_0_149_000000000000000000e1,0,986130.6484304602,82.85381205893212,6/1/2023,76.27727235207769,15,15.69909409030168,15.69909409030168,15481.35784,15481.35784,9,5/1/2023,1.6856E+12,1.68292E+12,15.69909409030168,15481.35784,0,0
0_0_149_000000000000000001e9,0,1577032.3348753797,90.72456391586465,6/1/2023,69.15853328774442,17,9.24538031,9.24538031,14580.2637,14580.2637,19,5/1/2023,1.6856E+12,1.68292E+12,9.24538031,14580.2637,0,0
0_0_149_00000000000000000177,0,162278.6400415355,96.16204530060857,6/1/2023,81.49021437250475,30,33.974863381449566,33.974863381449566,5513.394625,5513.394625,13,5/1/2023,1.6856E+12,1.68292E+12,33.974863381449566,5513.394625,0,0
0_0_15_0000000000000000005a,0,136664.5351726821,29.206963909468463,4/1/2012,27.179309456325694,26,0,0,0,0,9,3/1/2012,1.33326E+12,1.33059E+12,0,0,0,0
0_0_15_000000000000000000aa,0,196514.8730274846,27.901937129084743,4/1/2012,26.784299706870655,33,0,0,0,0,9,3/1/2012,1.33326E+12,1.33059E+12,0,0,0,0
0_0_150_00000000000000000206,0,429135.29578075523,86.44444195365213,7/1/2023,74.44525263880048,9,70.42973909221709,70.42973909221709,30223.88692,30223.88692,4,6/1/2023,1.68819E+12,1.6856E+12,70.42973909221709,30223.88692,0,0
0_0_150_00000000000000000107,0,1458115.6393016765,90.80596194564905,7/1/2023,70.71045562783125,12,11.879876008747837,11.879876008747837,17322.233,17322.233,10,6/1/2023,1.68819E+12,1.6856E+12,11.879876008747837,17322.233,0,0
0_0_150_0000000000000000011e,0,355544.6633680257,93.59633254,7/1/2023,73.86944270195457,14,20.66797807844933,20.66797807844933,7348.389308400001,7348.389308400001,30,6/1/2023,1.68819E+12,1.6856E+12,20.66797807844933,7348.389308400001,0,0
0_0_150_000000000000000001ff,0,261396.93308642955,95.94391262669566,7/1/2023,90.64319242475479,18,59.76418660533637,59.76418660533637,15622.17509,15622.17509,9,6/1/2023,1.68819E+12,1.6856E+12,59.76418660533637,15622.17509,0,0
0_0_150_00000000000000000178,0,162278.6400415355,88.93500446255258,7/1/2023,87.94497483075853,30,66.06424647998769,66.06424647998769,10720.81607,10720.81607,13,6/1/2023,1.68819E+12,1.6856E+12,66.06424647998769,10720.81607,0,0
0_0_151_00000000000000000207,0,429135.29578075523,79.45498872251207,8/1/2023,76.10586611342092,9,89.61483491688269,89.61483491688269,38456.88869,38456.88869,4,7/1/2023,1.69087E+12,1.68819E+12,89.61483491688269,38456.88869,0,0
0_0_151_00000000000000000001,0,282848.4497815639,102.44969304903782,8/1/2023,89.73464404076655,38,23.592587497486633,23.592587497486633,6673.1268,6673.1268,12,7/1/2023,1.69087E+12,1.68819E+12,23.592587497486633,6673.1268,0,0
0_0_153_0000000000000000012a,0,1082083.0253442288,45.54431385852483,10/1/2023,43.660574959417715,2,4.559650123363165,4.559650123363165,4933.92,4933.92,15,9/1/2023,1.69614E+12,1.69355E+12,4.559650123363165,4933.92,0,0
0_0_153_00000000000000000208,0,429135.29578075523,37.33009212554566,10/1/2023,36.34592463403947,9,13.036405501490522,13.036405501490522,5594.381731,5594.381731,4,9/1/2023,1.69614E+12,1.69355E+12,13.036405501490522,5594.381731,0,0
0_0_153_000000000000000001e5,0,271920.8003264257,38.752782151749656,10/1/2023,32.24343964473154,10,18.14469505119544,18.14469505119544,4933.92,4933.92,31,9/1/2023,1.69614E+12,1.69355E+12,18.14469505119544,4933.92,0,0
0_0_154_0000000000000000007b,0,136656.81518949024,21.13239558436968,11/1/2023,20.58405050244782,26,0,0,0,0,15,10/1/2023,1.69882E+12,1.69614E+12,0,0,0,0
0_0_154_00000000000000000080,0,136498.10105722924,21.13239558436968,11/1/2023,20.58668351427319,28,0,0,0,0,15,10/1/2023,1.69882E+12,1.69614E+12,0,0,0,0
0_0_16_0000000000000000000b,0,136664.5351726821,49.750291804517765,5/1/2012,44.01038392166967,26,4.838937374384671,4.838937374384671,661.3111269999999,661.3111269999999,9,4/1/2012,1.33586E+12,1.33326E+12,4.838937374384671,661.3111269999999,0,0
0_0_16_000000000000000000a0,0,196514.8730274846,47.74842816868551,5/1/2012,44.154607850146554,33,1.910861331841691,1.910861331841691,375.512672,375.512672,9,4/1/2012,1.33586E+12,1.33326E+12,1.910861331841691,375.512672,0,0
0_0_17_0000000000000000000c,0,136664.5351726821,87.79512959194251,6/1/2012,81.28082968307137,26,22.383201443848044,22.383201443848044,3058.989821,3058.989821,9,5/1/2012,1.33853E+12,1.33586E+12,22.383201443848044,3058.989821,0,0
0_0_17_000000000000000000a1,0,196514.8730274846,82.56359226277777,6/1/2012,68.98711303353113,33,28.446792314890853,28.446792314890853,5590.21778,5590.21778,9,5/1/2012,1.33853E+12,1.33586E+12,28.446792314890853,5590.21778,0,0
0_0_18_000000000000000000a2,0,196514.8730274846,56.27367626982446,7/1/2012,28.109816257953806,33,86.87906335925099,86.87906335925099,17073.0281,17073.0281,9,6/1/2012,1.34113E+12,1.33853E+12,86.87906335925099,17073.0281,0,0
0_0_2_00000000000000000160,0,164651.4991778439,15.851406863734256,3/1/2011,13.585491896047317,30,23.18355717,23.18355717,3817.207444,3817.207444,9,2/1/2011,1.29897E+12,1.29655E+12,23.18355717,3817.207444,0,0
